DRRALL,CRRINT,CRRALL,GEO_ID,NAME_rr,state,county,NAME_demo,B01001_001E,B01001_003E,B01001_027E,B03002_012E,B03002_001E,B25003_001E,B25003_003E,children_under_5,pct_children_under_5,pct_hispanic,pct_renter,self_response_rate,internet_response_rate,estimated_hispanic_gap,_rescued_data
0.0,26.7,69.1,0500000US21137,"Lincoln County, Kentucky",21,137,"Lincoln County, Kentucky",24320,862,794,457,24320,9692,2077,1656,6.81,1.88,21.43,69.1,26.7,0.28,
0.0,32.7,62.6,0500000US21139,"Livingston County, Kentucky",21,139,"Livingston County, Kentucky",8980,276,185,229,8980,3537,639,461,5.13,2.55,18.07,62.6,32.7,0.38,
0.0,24.1,55.6,0500000US21143,"Lyon County, Kentucky",21,143,"Lyon County, Kentucky",8721,168,120,219,8721,3229,583,288,3.3,2.51,18.06,55.6,24.1,0.38,
0.0,56.7,71.9,0500000US21145,"McCracken County, Kentucky",21,145,"McCracken County, Kentucky",67573,2152,1773,1882,67573,27000,8970,3925,5.81,2.79,33.22,71.9,56.7,0.42,
0.0,26.2,63.8,0500000US21149,"McLean County, Kentucky",21,149,"McLean County, Kentucky",9173,241,250,188,9173,3609,707,491,5.35,2.05,19.59,63.8,26.2,0.31,
0.0,60.3,72.2,0500000US21151,"Madison County, Kentucky",21,151,"Madison County, Kentucky",92955,2573,2451,2550,92955,36148,13982,5024,5.4,2.74,38.68,72.2,60.3,0.41,
0.0,25.4,45.4,0500000US21153,"Magoffin County, Kentucky",21,153,"Magoffin County, Kentucky",11647,371,326,152,11647,4554,1130,697,5.98,1.31,24.81,45.4,25.4,0.2,
0.0,45.5,65.8,0500000US21157,"Marshall County, Kentucky",21,157,"Marshall County, Kentucky",31706,803,758,575,31706,12998,2271,1561,4.92,1.81,17.47,65.8,45.5,0.27,
0.0,60.8,70.7,0500000US21163,"Meade County, Kentucky",21,163,"Meade County, Kentucky",29964,751,814,1197,29964,10554,2726,1565,5.22,3.99,25.83,70.7,60.8,0.6,
0.0,20.0,46.1,0500000US21165,"Menifee County, Kentucky",21,165,"Menifee County, Kentucky",6174,300,173,149,6174,2262,587,473,7.66,2.41,25.95,46.1,20.0,0.36,
0.0,31.6,61.3,0500000US21169,"Metcalfe County, Kentucky",21,169,"Metcalfe County, Kentucky",10313,293,299,204,10313,4160,922,592,5.74,1.98,22.16,61.3,31.6,0.3,
0.0,33.2,62.0,0500000US21171,"Monroe County, Kentucky",21,171,"Monroe County, Kentucky",11331,390,322,364,11331,4544,1320,712,6.28,3.21,29.05,62.0,33.2,0.48,
0.0,52.7,71.7,0500000US21173,"Montgomery County, Kentucky",21,173,"Montgomery County, Kentucky",28188,840,791,838,28188,10705,3631,1631,5.79,2.97,33.92,71.7,52.7,0.45,
0.0,59.2,77.4,0500000US21179,"Nelson County, Kentucky",21,179,"Nelson County, Kentucky",46779,1525,1313,1108,46779,18457,4337,2838,6.07,2.37,23.5,77.4,59.2,0.36,
0.0,34.0,66.9,0500000US21183,"Ohio County, Kentucky",21,183,"Ohio County, Kentucky",23782,687,599,822,23782,9041,2003,1286,5.41,3.46,22.15,66.9,34.0,0.52,
0.0,76.1,83.3,0500000US21185,"Oldham County, Kentucky",21,185,"Oldham County, Kentucky",67997,1671,1653,2773,67997,22128,2908,3324,4.89,4.08,13.14,83.3,76.1,0.61,
0.0,28.0,54.8,0500000US21187,"Owen County, Kentucky",21,187,"Owen County, Kentucky",11229,337,279,63,11229,4146,600,616,5.49,0.56,14.47,54.8,28.0,0.08,
0.0,27.4,67.5,0500000US21191,"Pendleton County, Kentucky",21,191,"Pendleton County, Kentucky",14638,471,395,211,14638,5270,1390,866,5.92,1.44,26.38,67.5,27.4,0.22,
0.0,28.1,46.0,0500000US21193,"Perry County, Kentucky",21,193,"Perry County, Kentucky",28136,883,827,311,28136,11279,2738,1710,6.08,1.11,24.28,46.0,28.1,0.17,
0.0,26.1,57.2,0500000US21197,"Powell County, Kentucky",21,197,"Powell County, Kentucky",13089,443,379,259,13089,4658,1486,822,6.28,1.98,31.9,57.2,26.1,0.3,
0.0,51.1,65.2,0500000US21199,"Pulaski County, Kentucky",21,199,"Pulaski County, Kentucky",65145,1885,1838,1752,65145,25711,7135,3723,5.71,2.69,27.75,65.2,51.1,0.4,
0.0,36.5,64.4,0500000US21203,"Rockcastle County, Kentucky",21,203,"Rockcastle County, Kentucky",16171,486,399,177,16171,6380,1529,885,5.47,1.09,23.97,64.4,36.5,0.16,
0.0,50.7,64.8,0500000US21205,"Rowan County, Kentucky",21,205,"Rowan County, Kentucky",24551,648,683,513,24551,8952,3451,1331,5.42,2.09,38.55,64.8,50.7,0.31,
0.0,24.3,56.2,0500000US21207,"Russell County, Kentucky",21,207,"Russell County, Kentucky",18021,540,508,693,18021,7007,1794,1048,5.82,3.85,25.6,56.2,24.3,0.58,
0.0,66.9,77.0,0500000US21209,"Scott County, Kentucky",21,209,"Scott County, Kentucky",57286,1714,1839,2590,57286,21603,5740,3553,6.2,4.52,26.57,77.0,66.9,0.68,
0.0,56.4,76.1,0500000US21211,"Shelby County, Kentucky",21,211,"Shelby County, Kentucky",48105,1631,1199,4622,48105,17590,4771,2830,5.88,9.61,27.12,76.1,56.4,1.44,
0.0,56.5,71.9,0500000US21213,"Simpson County, Kentucky",21,213,"Simpson County, Kentucky",19574,604,524,539,19574,7530,2584,1128,5.76,2.75,34.32,71.9,56.5,0.41,
0.0,66.3,79.9,0500000US21215,"Spencer County, Kentucky",21,215,"Spencer County, Kentucky",19549,534,500,514,19549,6916,955,1034,5.29,2.63,13.81,79.9,66.3,0.39,
0.0,48.6,70.4,0500000US21217,"Taylor County, Kentucky",21,217,"Taylor County, Kentucky",26056,786,691,666,26056,9843,3197,1477,5.67,2.56,32.48,70.4,48.6,0.38,
0.0,27.1,62.6,0500000US21219,"Todd County, Kentucky",21,219,"Todd County, Kentucky",12281,422,422,589,12281,4476,1130,844,6.87,4.8,25.25,62.6,27.1,0.72,
0.0,24.5,60.0,0500000US21221,"Trigg County, Kentucky",21,221,"Trigg County, Kentucky",14154,448,349,353,14154,5818,1243,797,5.63,2.49,21.36,60.0,24.5,0.37,
0.0,26.2,67.1,0500000US21223,"Trimble County, Kentucky",21,223,"Trimble County, Kentucky",8510,242,180,291,8510,3273,613,422,4.96,3.42,18.73,67.1,26.2,0.51,
0.0,48.7,68.8,0500000US21225,"Union County, Kentucky",21,225,"Union County, Kentucky",13495,314,379,259,13495,5067,1364,693,5.14,1.92,26.92,68.8,48.7,0.29,
0.0,56.8,67.6,0500000US21227,"Warren County, Kentucky",21,227,"Warren County, Kentucky",135307,4345,4221,7652,135307,52545,22707,8566,6.33,5.66,43.21,67.6,56.8,0.85,
0.0,27.0,72.0,0500000US21229,"Washington County, Kentucky",21,229,"Washington County, Kentucky",12025,385,336,64,12025,4635,953,721,6.0,0.53,20.56,72.0,27.0,0.08,
0.0,21.3,58.9,0500000US21231,"Wayne County, Kentucky",21,231,"Wayne County, Kentucky",19666,527,543,729,19666,7897,2076,1070,5.44,3.71,26.29,58.9,21.3,0.56,
0.0,26.7,63.7,0500000US21233,"Webster County, Kentucky",21,233,"Webster County, Kentucky",12951,388,395,752,12951,4819,1365,783,6.05,5.81,28.33,63.7,26.7,0.87,
0.0,33.6,61.7,0500000US21235,"Whitley County, Kentucky",21,235,"Whitley County, Kentucky",36648,1325,1261,563,36648,13076,4358,2586,7.06,1.54,33.33,61.7,33.6,0.23,
0.0,20.3,40.8,0500000US21237,"Wolfe County, Kentucky",21,237,"Wolfe County, Kentucky",6573,271,141,0,6573,2506,797,412,6.27,0.0,31.8,40.8,20.3,0.0,
