county_fips,county_name,crrall,crrint,pct_no_broadband,pct_renter,pct_spanish_limited_english,pct_undeliverable,root_cause_rank,state_abbr
21137,"Lincoln County, Kentucky",69.1,26.7,52.7,21.4,5.0,2.2,BROADBAND,KY
21139,"Livingston County, Kentucky",62.6,32.7,20.5,18.1,5.0,2.5,UNKNOWN,KY
21143,"Lyon County, Kentucky",55.6,24.1,48.6,18.1,5.0,1.4,BROADBAND,KY
21145,"McCracken County, Kentucky",71.9,56.7,11.2,33.2,5.0,7.9,UNKNOWN,KY
21149,"McLean County, Kentucky",63.8,26.2,42.9,19.6,5.0,6.5,BROADBAND,KY
21151,"Madison County, Kentucky",72.2,60.3,10.1,38.7,5.0,4.0,UNKNOWN,KY
21153,"Magoffin County, Kentucky",45.4,25.4,54.0,24.8,5.0,12.0,BROADBAND,KY
21157,"Marshall County, Kentucky",65.8,45.5,22.6,17.5,5.0,6.0,UNKNOWN,KY
21163,"Meade County, Kentucky",70.7,60.8,4.8,25.8,5.0,3.1,UNKNOWN,KY
21165,"Menifee County, Kentucky",46.1,20.0,36.6,25.9,5.0,9.1,BROADBAND,KY
21169,"Metcalfe County, Kentucky",61.3,31.6,36.6,22.2,5.0,6.2,BROADBAND,KY
21171,"Monroe County, Kentucky",62.0,33.2,33.2,29.1,5.0,5.1,UNKNOWN,KY
21173,"Montgomery County, Kentucky",71.7,52.7,16.8,33.9,5.0,7.0,UNKNOWN,KY
21179,"Nelson County, Kentucky",77.4,59.2,14.5,23.5,5.0,7.7,UNKNOWN,KY
21183,"Ohio County, Kentucky",66.9,34.0,31.9,22.1,5.0,2.3,UNKNOWN,KY
21185,"Oldham County, Kentucky",83.3,76.1,3.1,13.1,5.0,5.7,UNKNOWN,KY
21187,"Owen County, Kentucky",54.8,28.0,54.4,14.5,5.0,5.8,BROADBAND,KY
21191,"Pendleton County, Kentucky",67.5,27.4,48.1,26.4,5.0,2.7,BROADBAND,KY
