DRRALL,CRRINT,CRRALL,GEO_ID,NAME_rr,state,NAME_demo,B01001_001E,B01001_003E,B01001_027E,B03002_001E,B03002_012E,B03002_003E,B03002_004E,B03002_006E,B25003_001E,B25003_002E,B25003_003E,children_under_5,pct_children_under_5,pct_hispanic,pct_renter,self_response_rate,internet_response_rate,estimated_hispanic_gap,_rescued_data
0.0,52.4,64.1,0400000US04,Arizona,4,Arizona,7172282,205506,197130,7172282,2297513,3801121,307726,233864,2739136,1815352,923784,402636,5.61,32.03,33.73,64.1,52.4,4.8,
0.0,58.2,70.8,0400000US09,Connecticut,9,Connecticut,3611317,93705,89063,3611317,627408,2308644,355970,169549,1409807,932588,477219,182768,5.06,17.37,33.85,70.8,58.2,2.61,
0.0,40.9,60.6,0400000US05,Arkansas,5,Arkansas,3018669,93300,88024,3018669,243321,2103784,454728,46593,1171694,775956,395738,181324,6.01,8.06,33.77,60.6,40.9,1.21,
0.0,60.1,70.0,0400000US08,Colorado,8,Colorado,5770790,162030,155159,5770790,1273762,3821584,221211,181338,2278044,1507547,770497,317189,5.5,22.07,33.82,70.0,60.1,3.31,
0.0,52.9,64.9,0400000US10,Delaware,10,Delaware,993635,27470,26520,993635,98696,597532,213516,40394,389000,279923,109077,53990,5.43,9.93,28.04,64.9,52.9,1.49,
0.0,44.7,63.6,0400000US01,Alabama,1,Alabama,5028092,149474,142382,5028092,232407,3247262,1318388,69099,1933150,1347792,585358,291856,5.8,4.62,30.28,63.6,44.7,0.69,
0.0,50.4,62.9,0400000US13,Georgia,13,Georgia,10722325,326239,309060,10722325,1078457,5445155,3334095,461195,3946490,2565877,1380613,635299,5.93,10.06,34.98,62.9,50.4,1.51,
0.0,55.3,64.0,0400000US11,District of Columbia,11,District of Columbia,670587,21273,20249,670587,77168,243730,291880,26512,315785,130865,184920,41522,6.19,11.51,58.56,64.0,55.3,1.73,
0.0,50.0,63.8,0400000US12,Florida,12,Florida,21634529,563975,540590,21634529,5738283,11242515,3232871,596828,8353441,5585924,2767517,1104565,5.11,26.52,33.13,63.8,50.0,3.98,
0.0,54.8,69.8,0400000US20,Kansas,20,Kansas,2935922,93065,87418,2935922,369970,2179129,157768,87010,1148635,767875,380760,180483,6.15,12.6,33.15,69.8,54.8,1.89,
0.0,58.4,71.4,0400000US17,Illinois,17,Illinois,12757634,369069,352096,12757634,2275704,7601615,1744151,731197,4968761,3312809,1655952,721165,5.65,17.84,33.33,71.4,58.4,2.68,
0.0,43.6,60.4,0400000US22,Louisiana,22,Louisiana,4640546,147783,142059,4640546,255584,2669166,1456107,79558,1765264,1185633,579631,289842,6.25,5.51,32.84,60.4,43.6,0.83,
0.0,60.7,71.2,0400000US24,Maryland,24,Maryland,6161707,182758,175781,6161707,672905,2989005,1815877,396983,2318124,1564056,754068,358539,5.82,10.92,32.53,71.2,60.7,1.64,
0.0,58.1,69.4,0400000US25,Massachusetts,25,Massachusetts,6984205,180018,171190,6984205,879296,4809687,459848,484291,2740995,1711341,1029654,351208,5.03,12.59,37.56,69.4,58.1,1.89,
0.0,50.4,65.9,0400000US29,Missouri,29,Missouri,6154422,184879,175296,6154422,280078,4774137,688219,125882,2458324,1661854,796470,360175,5.85,4.55,32.4,65.9,50.4,0.68,
0.0,44.8,58.7,0400000US35,New Mexico,35,New Mexico,2112463,59366,56561,2112463,1051626,752424,37996,32214,812852,558179,254673,115927,5.49,49.78,31.33,58.7,44.8,7.47,
0.0,49.6,63.4,0400000US37,North Carolina,37,North Carolina,10470214,301897,287870,10470214,1051008,6455988,2161841,322895,4105232,2717961,1387271,589767,5.63,10.04,33.79,63.4,49.6,1.51,
0.0,55.6,67.1,0400000US33,New Hampshire,33,New Hampshire,1379610,31825,31094,1379610,58654,1217710,18477,36232,545116,393945,151171,62919,4.56,4.25,27.73,67.1,55.6,0.64,
0.0,45.6,60.4,0400000US30,Montana,30,Montana,1091840,30328,28675,1091840,45881,923663,5248,9002,443917,306432,137485,59003,5.4,4.2,30.97,60.4,45.6,0.63,
0.0,56.9,71.9,0400000US31,Nebraska,31,Nebraska,1958939,65003,62309,1958939,230769,1509776,91357,48446,776379,516651,259728,127312,6.5,11.78,33.45,71.9,56.9,1.77,
0.0,58.7,69.5,0400000US34,New Jersey,34,New Jersey,9249063,268430,255565,9249063,1963423,4900415,1147770,905752,3438162,2195831,1242331,523995,5.67,21.23,36.13,69.5,58.7,3.18,
0.0,54.6,70.7,0400000US39,Ohio,39,Ohio,11774683,345614,330789,11774683,494625,9094774,1431238,281238,4789408,3200314,1589094,676403,5.74,4.2,33.18,70.7,54.6,0.63,
0.0,52.6,65.2,0400000US38,North Dakota,38,North Dakota,776874,26806,24911,776874,33189,644419,24882,12380,320038,202213,117825,51717,6.66,4.27,36.82,65.2,52.6,0.64,
0.0,42.7,58.2,0400000US23,Maine,23,Maine,1366949,32469,30713,1366949,25898,1249638,21093,14944,580172,426239,153933,63182,4.62,1.89,26.53,58.2,42.7,0.28,
0.0,37.0,56.2,0400000US54,West Virginia,54,West Virginia,1792967,46207,44173,1792967,32910,1625416,60237,13460,716040,531027,185013,90380,5.04,1.84,25.84,56.2,37.0,0.28,
